date,time,home_team,away_team,home_goals,away_goals,result,year,total_goals,home_date,home_goals_for,home_goals_against,home_points,home_form_5,home_goals_for_5,home_goals_against_5,home_goal_diff_5,away_date,away_goals_for,away_goals_against,away_points,away_form_5,away_goals_for_5,away_goals_against_5,away_goal_diff_5,home_tier,away_tier,diff_tier,diff_form_5,diff_goals_for_5,diff_goals_against_5
2012-04-10,01:00:00,Cruz Azul,Atlante,4.0,0.0,H,2012,4.0,2012-04-10,4.0,0.0,3,0.6666666666666666,0.6666666666666666,1.0,-0.33333333333333337,2012-04-10,0.0,4.0,0,1.5,1.0,1.5,-0.5,1,3,2,-0.8333333333333334,-0.33333333333333337,-0.5
2012-04-10,01:00:00,Puebla,Pachuca,2.0,0.0,H,2012,2.0,2012-04-10,2.0,0.0,3,1.0,1.5,1.5,0.0,2012-04-10,0.0,2.0,0,1.3333333333333333,0.6666666666666666,1.6666666666666667,-1.0,2,1,-1,-0.33333333333333326,0.8333333333333334,-0.16666666666666674
2012-04-10,01:00:00,Toluca FC,Querétaro,4.0,1.0,H,2012,5.0,2012-04-10,4.0,1.0,3,0.5,0.5,1.5,-1.0,2012-04-10,1.0,4.0,0,0.0,0.0,1.0,-1.0,1,2,1,0.5,0.5,0.5
2012-04-10,02:00:00,Santos Laguna,Atlas,2.0,1.0,H,2012,3.0,2012-04-10,2.0,1.0,3,2.5,2.5,1.25,1.25,2012-04-10,1.0,2.0,0,1.0,1.0,1.0,0.0,1,2,1,1.5,1.5,0.25
2012-04-10,02:30:00,León,Pumas UNAM,2.0,1.0,H,2012,3.0,2012-04-10,2.0,1.0,3,3.0,2.0,0.0,2.0,2012-04-10,1.0,2.0,0,1.0,0.3333333333333333,1.3333333333333333,-1.0,1,2,1,2.0,1.6666666666666667,-1.3333333333333333
2012-04-10,03:00:00,Monterrey,Tijuana,1.0,1.0,D,2012,2.0,2012-04-10,1.0,1.0,1,1.0,1.0,1.0,0.0,2012-04-10,1.0,1.0,1,3.0,1.6666666666666667,0.0,1.6666666666666667,1,2,1,-2.0,-0.6666666666666667,1.0
2012-04-11,22:00:00,Atlas,Puebla,2.0,2.0,D,2012,4.0,2012-04-11,2.0,2.0,1,0.5,1.0,1.5,-0.5,2012-04-11,2.0,2.0,1,1.6666666666666667,1.6666666666666667,1.0,0.6666666666666667,2,2,0,-1.1666666666666667,-0.6666666666666667,0.5
2012-04-11,18:00:00,Toluca FC,Morelia,0.0,0.0,D,2012,0.0,2012-04-11,0.0,0.0,1,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.3333333333333335,2012-04-11,0.0,0.0,1,0.5,1.5,2.0,-0.5,1,2,1,0.8333333333333333,0.16666666666666674,-0.6666666666666667
2012-04-11,02:30:00,Tijuana,Atlético de San Luis,0.0,0.0,D,2012,0.0,2012-04-11,0.0,0.0,1,2.5,1.5,0.25,1.25,2012-04-11,0.0,0.0,1,0.3333333333333333,1.3333333333333333,2.3333333333333335,-1.0000000000000002,2,3,1,2.1666666666666665,0.16666666666666674,-2.0833333333333335
2012-04-11,01:00:00,Monterrey,Tigres UANL,0.0,1.0,A,2012,1.0,2012-04-11,0.0,1.0,0,1.0,1.0,1.0,0.0,2012-04-11,1.0,0.0,3,0.0,1.0,2.5,-1.5,1,1,0,1.0,0.0,-1.5
2012-05-08,03:00:00,Atlas,Tigres UANL,0.0,0.0,D,2012,0.0,2012-05-08,0.0,0.0,1,0.6666666666666666,1.3333333333333333,1.6666666666666667,-0.3333333333333335,2012-05-08,0.0,0.0,1,1.0,1.0,1.6666666666666667,-0.6666666666666667,2,1,-1,-0.33333333333333337,0.33333333333333326,0.0
2012-05-08,18:00:00,Toluca FC,León,2.0,1.0,H,2012,3.0,2012-05-08,2.0,1.0,3,1.25,1.25,1.0,0.25,2012-05-08,1.0,2.0,0,3.0,2.0,0.5,1.5,1,1,0,-1.75,-0.75,0.5
2012-05-08,01:00:00,Monterrey,Chiapas,2.0,1.0,H,2012,3.0,2012-05-08,2.0,1.0,3,0.6666666666666666,0.6666666666666666,1.0,-0.33333333333333337,2012-05-08,1.0,2.0,0,1.5,1.5,1.0,0.5,1,2,1,-0.8333333333333334,-0.8333333333333334,0.0
2012-05-10,02:00:00,Morelia,Chiapas,1.0,1.0,D,2012,2.0,2012-05-10,1.0,1.0,1,0.6666666666666666,1.0,1.3333333333333333,-0.33333333333333326,2012-05-10,1.0,1.0,1,1.0,1.3333333333333333,1.3333333333333333,0.0,2,2,0,-0.33333333333333337,-0.33333333333333326,0.0
2012-05-11,00:00:00,Atlante,León,2.0,3.0,A,2012,5.0,2012-05-11,2.0,3.0,0,1.0,0.6666666666666666,2.3333333333333335,-1.666666666666667,2012-05-11,3.0,2.0,3,2.0,1.6666666666666667,1.0,0.6666666666666667,3,1,-2,-1.0,-1.0,1.3333333333333335
2012-06-08,00:00:00,Atlante,Club América,2.0,2.0,D,2012,4.0,2012-06-08,2.0,2.0,1,0.75,1.0,2.5,-1.5,2012-06-08,2.0,2.0,1,2.3333333333333335,2.3333333333333335,0.6666666666666666,1.666666666666667,3,1,-2,-1.5833333333333335,-1.3333333333333335,1.8333333333333335
2012-06-10,23:00:00,Club América,Guadalajara,1.0,3.0,A,2012,4.0,2012-06-10,1.0,3.0,0,2.0,2.25,1.0,1.25,2012-06-10,3.0,1.0,3,2.0,1.0,0.5,0.5,1,1,0,0.0,1.25,0.5
2012-07-10,23:00:00,Chiapas,Atlético de San Luis,4.0,0.0,H,2012,4.0,2012-07-10,4.0,0.0,3,1.0,1.25,1.25,0.0,2012-07-10,0.0,4.0,0,0.5,1.0,1.75,-0.75,2,3,1,0.5,0.25,-0.5
2012-07-10,01:00:00,Querétaro,Santos Laguna,1.0,1.0,D,2012,2.0,2012-07-10,1.0,1.0,1,0.0,0.25,1.75,-1.5,2012-07-10,1.0,1.0,1,2.6,2.4,1.2,1.2,2,1,-1,-2.6,-2.15,0.55
2012-07-10,18:00:00,Pumas UNAM,Monterrey,3.0,2.0,H,2012,5.0,2012-07-10,3.0,2.0,3,0.75,0.5,1.5,-1.0,2012-07-10,2.0,3.0,0,1.25,1.0,1.0,0.0,2,1,-1,-0.5,-0.5,0.5
2012-07-10,03:00:00,Atlas,Cruz Azul,1.0,1.0,D,2012,2.0,2012-07-10,1.0,1.0,1,0.75,1.0,1.25,-0.25,2012-07-10,1.0,1.0,1,1.25,1.5,0.75,0.75,2,1,-1,-0.5,-0.5,0.5
2012-07-10,01:00:00,Pachuca,León,1.0,1.0,D,2012,2.0,2012-07-10,1.0,1.0,1,1.0,0.5,1.75,-1.25,2012-07-10,1.0,1.0,1,2.25,2.0,1.25,0.75,1,1,0,-1.25,-1.5,0.5
2012-07-10,01:00:00,Tigres UANL,Puebla,1.0,2.0,A,2012,3.0,2012-07-10,1.0,2.0,0,1.0,0.75,1.25,-0.5,2012-07-10,2.0,1.0,3,1.5,1.75,1.25,0.5,1,2,1,-0.5,-1.0,0.0
2012-07-21,01:30:00,Chiapas,Tigres UANL,0.0,4.0,A,2012,4.0,2012-07-21,0.0,4.0,0,1.4,1.8,1.0,0.8,2012-07-21,4.0,0.0,3,0.8,0.8,1.4,-0.5999999999999999,2,1,-1,0.5999999999999999,1.0,-0.3999999999999999
2012-07-21,03:30:00,Tijuana,Puebla,2.0,0.0,H,2012,2.0,2012-07-21,2.0,0.0,3,2.2,1.2,0.2,1.0,2012-07-21,0.0,2.0,0,1.8,1.8,1.2,0.6000000000000001,2,2,0,0.40000000000000013,-0.6000000000000001,-1.0
2012-07-21,23:00:00,Cruz Azul,Morelia,0.0,0.0,D,2012,0.0,2012-07-21,0.0,0.0,1,1.2,1.4,0.8,0.5999999999999999,2012-07-21,0.0,0.0,1,0.75,1.0,1.25,-0.25,1,2,1,0.44999999999999996,0.3999999999999999,-0.44999999999999996
2012-07-21,23:00:00,Querétaro,León,0.0,2.0,A,2012,2.0,2012-07-21,0.0,2.0,0,0.2,0.4,1.6,-1.2000000000000002,2012-07-21,2.0,0.0,3,2.0,1.8,1.2,0.6000000000000001,2,1,-1,-1.8,-1.4,0.40000000000000013
2012-07-22,03:00:00,Atlas,Pumas UNAM,1.0,1.0,D,2012,2.0,2012-07-22,1.0,1.0,1,0.8,1.0,1.2,-0.19999999999999996,2012-07-22,1.0,1.0,1,1.2,1.0,1.6,-0.6000000000000001,2,2,0,-0.3999999999999999,0.0,-0.40000000000000013
2012-07-22,18:00:00,Toluca FC,Guadalajara,2.0,1.0,H,2012,3.0,2012-07-22,2.0,1.0,3,1.6,1.4,1.0,0.3999999999999999,2012-07-22,1.0,2.0,0,2.2,1.4,0.6,0.7999999999999999,1,1,0,-0.6000000000000001,0.0,0.4
